ID_Bien,ID_Adresse,Type local,Nombre pieces principales,Surface Carrez
215,215,Appartement,4,84.23
216,216,Appartement,2,30.18
217,217,Appartement,3,75.31
218,218,Appartement,2,29.13
219,219,Appartement,4,61.16
220,220,Appartement,1,21.34
221,221,Appartement,2,54.2
222,222,Appartement,3,61.06
223,223,Maison,4,86.3
224,224,Appartement,2,46.75
225,225,Appartement,3,64.84
226,226,Appartement,2,31.2
227,227,Appartement,3,52.47
228,228,Appartement,2,37.6
229,229,Appartement,3,61.93
230,230,Appartement,4,108.84
231,231,Appartement,3,68.75
232,232,Appartement,3,59.73
233,233,Appartement,2,48.5
234,234,Maison,6,101.85
235,235,Appartement,2,50.08
236,236,Appartement,3,95.74
237,237,Appartement,2,25.34
238,238,Appartement,3,80.09
239,239,Appartement,1,25.16
240,240,Appartement,2,44.17
241,241,Appartement,2,31.12
242,242,Maison,6,146.94
243,243,Appartement,4,119.95
244,244,Appartement,3,50.6
245,245,Appartement,3,68.02
246,246,Appartement,1,76.85
247,247,Appartement,3,61.93
248,248,Appartement,2,56.05
249,249,Appartement,3,58.45
250,250,Appartement,4,67.23
251,251,Maison,5,111.15
252,252,Appartement,3,73.81
253,253,Maison,3,82.35
254,254,Appartement,3,36.91
255,255,Appartement,3,52.46
256,256,Appartement,1,28.55
257,257,Appartement,2,52.24
258,258,Appartement,2,44.95
259,259,Appartement,1,65.62
260,260,Appartement,6,102.46
261,261,Appartement,2,37.38
262,262,Maison,8,220.72
263,263,Appartement,4,80.38
264,264,Appartement,4,99.04
265,265,Appartement,3,63.16
266,266,Appartement,3,67.8
267,267,Appartement,4,94.32
268,268,Appartement,2,47.12
269,269,Appartement,3,53.01
270,270,Appartement,1,66
271,271,Appartement,4,78.02
272,272,Appartement,4,87.15
273,273,Appartement,6,99.96
274,274,Appartement,3,82.62
275,275,Appartement,4,67.19
276,276,Appartement,2,30.38
277,277,Appartement,1,31.49
278,278,Appartement,2,47.04
279,279,Appartement,2,30.09
280,280,Appartement,4,105.71
281,281,Appartement,1,34.99
282,282,Appartement,2,45.61
283,283,Appartement,3,63.14
284,284,Appartement,1,31.79
285,285,Appartement,2,61.37
286,286,Appartement,1,16.54
287,287,Appartement,2,41.31
288,288,Appartement,1,21.62
289,289,Appartement,1,20.92
290,290,Appartement,3,70.19
291,291,Appartement,4,75.95
292,292,Appartement,2,16.7
293,293,Appartement,2,36.98
294,294,Appartement,1,25.45
295,295,Appartement,1,23.7
296,296,Appartement,3,58.53
297,297,Appartement,1,26.25
298,298,Appartement,3,65.74
299,299,Appartement,2,22.15
300,300,Appartement,2,43.85
301,301,Appartement,1,36.29
302,302,Appartement,1,19.97
303,303,Appartement,2,39.6
304,304,Appartement,3,56.67
305,305,Appartement,3,23.89
306,306,Appartement,1,16.3
307,307,Appartement,2,36.46
308,308,Appartement,2,44.14
309,309,Appartement,1,29.29
310,310,Appartement,3,76.75
311,311,Appartement,4,60.73
312,312,Appartement,3,63.17
313,313,Appartement,1,29
314,314,Appartement,1,22.71
315,315,Appartement,2,39.78
316,316,Appartement,2,62.55
317,317,Appartement,2,38.01
318,318,Appartement,4,70.03
319,319,Appartement,3,50.75
320,320,Appartement,3,59.19
321,321,Appartement,2,59.19
322,322,Appartement,3,68.03
323,323,Appartement,2,35.8
324,324,Appartement,2,48.4
325,325,Appartement,1,31.28
326,326,Appartement,3,52.28
327,327,Appartement,2,45.94
328,328,Appartement,2,47.88
329,329,Appartement,2,31
330,330,Appartement,3,56.02
331,331,Appartement,2,40.04
332,332,Appartement,1,17.78
333,333,Appartement,2,44.4
334,334,Appartement,3,77.87
335,335,Appartement,3,71.08
336,336,Appartement,1,20.15
337,337,Appartement,3,60.7
338,338,Appartement,1,26.43
339,339,Appartement,1,20.5
340,340,Maison,4,82.11
341,341,Appartement,1,13.15
342,342,Appartement,5,100.8
343,343,Appartement,3,63.58
344,344,Appartement,3,90.2
345,345,Appartement,2,43.84
346,346,Appartement,1,23.95
347,347,Appartement,3,65.52
348,348,Appartement,2,45.45
349,349,Appartement,1,10.8
350,350,Appartement,2,44.39
351,351,Appartement,3,56.83
352,352,Appartement,2,36.6
353,353,Maison,1,49.45
354,354,Appartement,2,54.68
355,355,Appartement,3,28.17
356,356,Appartement,3,41.75
357,357,Appartement,4,85.32
358,358,Appartement,3,71.64
359,359,Appartement,3,61.74
360,360,Appartement,3,62.66
361,361,Appartement,2,41.7
362,362,Maison,3,51.77
363,363,Appartement,3,65.26
364,364,Appartement,3,24.89
365,365,Appartement,3,64.45
366,366,Appartement,2,53.25
367,367,Appartement,4,99.42
368,368,Appartement,1,25.29
369,369,Appartement,2,50.16
370,370,Appartement,1,26.39
371,371,Appartement,4,73.6
372,372,Appartement,3,61.23
373,373,Maison,5,97.41
374,374,Appartement,1,22.51
375,375,Appartement,4,64.45
376,376,Maison,2,32.16
377,377,Appartement,1,21.28
378,378,Maison,3,53.22
379,379,Appartement,1,25.5
380,380,Appartement,1,28.5
381,381,Appartement,3,30.52
382,382,Appartement,1,27.01
383,383,Appartement,4,85.22
384,384,Appartement,3,66.05
385,385,Appartement,2,47.17
386,386,Appartement,1,24.58
387,387,Appartement,3,76.75
388,388,Appartement,3,70.19
389,389,Appartement,3,66.42
390,390,Appartement,3,56.91
391,391,Maison,4,77.7
392,392,Appartement,2,52.53
393,393,Appartement,3,52.9
394,394,Appartement,2,27.73
395,395,Appartement,3,55.2
396,396,Appartement,2,53.39
397,397,Appartement,5,93.49
398,398,Appartement,3,60.16
399,399,Appartement,1,40.35
400,400,Appartement,3,63.77
401,401,Appartement,1,26.72
402,402,Appartement,4,144.6
403,403,Appartement,1,23.28
404,404,Appartement,2,41.78
405,405,Appartement,4,81.95
406,406,Appartement,1,49.13
407,407,Appartement,4,81.25
408,408,Appartement,1,18.21
409,409,Appartement,3,65.24
410,410,Appartement,5,82.72
411,411,Appartement,4,80.28
412,412,Appartement,2,32.83
413,413,Appartement,3,69.31
414,414,Appartement,4,91.43
415,415,Maison,1,62.88
416,416,Maison,4,87.02
417,417,Appartement,3,60.7
418,418,Maison,5,94.35
419,419,Appartement,3,57.68
420,420,Appartement,3,36.8
421,421,Maison,4,74.39
422,422,Appartement,2,30.84
423,423,Appartement,3,49.28
424,424,Appartement,4,55.03
425,425,Maison,4,82.21
426,426,Appartement,4,72.75
427,427,Appartement,4,77.15
428,428,Appartement,3,71.62
429,429,Maison,5,118.56
430,430,Appartement,5,112.09
431,431,Maison,5,89.43
432,432,Appartement,3,60.77
433,433,Appartement,2,34.92
434,434,Maison,4,87.68
435,435,Appartement,5,88.78
436,436,Appartement,4,168.7
437,437,Appartement,1,22.84
438,438,Appartement,3,59.69
439,439,Appartement,3,82.59
440,440,Appartement,3,44.04
441,441,Appartement,2,67.98
442,442,Maison,5,107.15
443,443,Appartement,2,26.98
444,444,Appartement,4,85.37
445,445,Appartement,2,51.01
446,446,Appartement,4,115.53
447,447,Appartement,4,64.41
448,448,Maison,4,104.11
449,449,Appartement,1,30.02
450,450,Maison,3,92.99
451,451,Appartement,1,27.01
452,452,Appartement,2,54.34
453,453,Appartement,2,44.5
454,454,Appartement,1,28.35
455,455,Appartement,5,149.71
456,456,Appartement,3,58.94
457,457,Appartement,2,53.68
458,458,Appartement,3,39.34
459,459,Appartement,3,68.51
460,460,Appartement,3,56.15
461,461,Appartement,2,36.47
462,462,Appartement,2,31.48
463,463,Appartement,2,27.37
464,464,Appartement,3,75.16
465,465,Appartement,3,68.46
466,466,Appartement,2,47.05
467,467,Appartement,4,87.01
468,468,Maison,3,76.07
469,469,Appartement,1,29.5
470,470,Appartement,3,56.21
471,471,Appartement,3,68.12
472,472,Appartement,3,52.9
473,473,Appartement,2,46.01
474,474,Appartement,4,82.56
475,475,Maison,4,72.52
476,476,Appartement,2,49.42
477,477,Maison,5,109.22
478,478,Appartement,3,64.41
479,479,Appartement,2,31.21
480,480,Appartement,2,34.6
481,481,Appartement,3,48.65
482,482,Appartement,2,47.03
483,483,Appartement,3,63.2
484,484,Appartement,2,49.6
485,485,Appartement,3,50.78
486,486,Appartement,2,51.34
487,487,Appartement,3,48.88
488,488,Appartement,3,54.56
489,489,Appartement,3,53.8
490,490,Appartement,2,50.22
491,491,Appartement,5,111
492,492,Appartement,4,77.97
493,493,Appartement,2,48.65
494,494,Appartement,3,69.08
495,495,Appartement,4,96.33
496,496,Appartement,3,55.63
497,497,Appartement,4,133.44
498,498,Maison,4,88.9
499,499,Appartement,3,66.05
500,500,Appartement,4,77.41
501,501,Appartement,3,64.38
502,502,Maison,5,98.99
503,503,Appartement,2,48.96
504,504,Appartement,4,85.07
505,505,Maison,5,122.8
506,506,Appartement,4,83.25
507,507,Appartement,4,122.79
508,508,Maison,9,304.8
509,509,Appartement,5,130.65
510,510,Maison,3,70
511,511,Appartement,3,78.83
512,512,Appartement,7,131.25
513,513,Appartement,5,146.82
514,514,Appartement,5,110.09
515,515,Appartement,5,165.15
516,516,Appartement,8,360.95
517,517,Appartement,3,52.26
518,518,Appartement,0,33.46
519,519,Appartement,1,21.92
