ID,Code departement,Commune
4045,13,ARLES
4046,81,CASTRES
4047,40,MONT-DE-MARSAN
4048,972,SCHOELCHER
4049,41,BLOIS
4050,72,SABLE SUR SARTHE
4051,30,SAINT-NAZAIRE
4052,11,NARBONNE
4053,45,ORLEANS
4054,2,CHATEAU THIERRY
4055,44,INDRE
4056,89,ST CLEMENT
4057,94,ST MAURICE
4058,93,PANTIN
4059,76,SAINT-PIERRE-EN-PORT
4060,34,BALARUC LES BAINS
4061,2,LA FERE
4062,10,SAINT ANDRE LES VERGERS
4063,13,MARSEILLE 4EME
4064,35,LA GUERCHE-DE-BRETAGNE
4065,17,ST JEAN D'ANGELY
4066,93,MONTREUIL
4067,60,BEAUVAIS
4068,90,BELFORT
4069,29,BREST
4070,13,MARSEILLE 3EME
4071,85,ROCHE SUR YON (LA)
4072,69,VILLEURBANNE
4073,7,LABEGUDE
4074,29,BREST
4075,42,ROANNE
4076,87,ISLE
4077,78,CHATOU
4078,37,JOUE LES TOURS
4079,38,GRENOBLE
4080,78,MANTES-LA-VILLE
4081,4,ENCHASTRAYES
4082,59,ARMENTIERES
4083,60,PONT STE MAXENCE
4084,7,PRIVAS
4085,14,PONT-L EVEQUE
4086,6,PEONE
4087,22,SAINT-CAST-LE-GUILDO
4088,11,LEUCATE
4089,74,DEMI-QUARTIER
4090,14,TOURGEVILLE
4091,10,TROYES
4092,56,GUIDEL
4093,13,MARSEILLE 1ER
4094,47,VILLENEUVE SUR LOT
4095,74,SALLANCHES
4096,76,GRUCHET-LE-VALASSE
4097,14,TROUVILLE-SUR-MER
4098,56,LE PALAIS
4099,14,VILLERS-SUR-MER
4100,92,COLOMBES
4101,33,LACANAU
4102,44,LA TURBALLE
4103,86,POITIERS
4104,13,AUBAGNE
4105,13,LA CIOTAT
4106,35,ST JACQUES DE LA LANDE
4107,94,LE PERREUX-SUR-MARNE
4108,94,NOGENT-SUR-MARNE
4109,13,MARSEILLE 1ER
4110,13,MARSEILLE 5EME
4111,85,TALMONT-SAINT-HILAIRE
4112,2A,SARTENE
4113,33,HOURTIN
4114,76,YVETOT
4115,13,MARSEILLE 14EME
4116,92,CLICHY
4117,77,VILLEPARISIS
4118,6,MENTON
4119,66,LES ANGLES
4120,93,AUBERVILLIERS
4121,74,ANNECY
4122,33,TALENCE
4123,33,BORDEAUX
4124,77,ESBLY
4125,91,ETAMPES
4126,11,PORT-LA-NOUVELLE
4127,59,BAILLEUL
4128,83,BORMES-LES-MIMOSAS
4129,33,ST SULPICE ET CAMEYRAC
4130,13,MARSEILLE 13EME
4131,75,PARIS 14
4132,83,HYERES
4133,85,SAINT-HILAIRE-DE-RIEZ
4134,13,MARSEILLE 6EME
4135,59,LILLE
4136,35,BOURGBARRE
4137,59,LAMBERSART
4138,35,BRUZ
4139,93,STAINS
4140,95,MAGNY-EN-VEXIN
4141,94,JOINVILLE-LE-PONT
4142,30,LE GRAU DU ROI
4143,13,MARSEILLE 11EME
4144,38,ECHIROLLES
4145,74,LA ROCHE SUR FORON
4146,83,SANARY SUR MER
4147,13,MARSEILLE 7EME
4148,54,NANCY
4149,91,PALAISEAU
4150,6,NICE
4151,66,CANET EN ROUSSILLON
4152,69,BRON
4153,93,MONTFERMEIL
4154,75,PARIS 06
4155,13,MARSEILLE 7EME
4156,33,BRUGES
4157,66,ELNE
4158,74,COMBLOUX
4159,91,ETAMPES
4160,94,VILLIERS-SUR-MARNE
4161,95,BEAUMONT-SUR-OISE
4162,82,BEAUMONT DE LOMAGNE
4163,6,NICE
4164,44,NANTES
4165,91,VIRY CHATILLON
4166,95,TAVERNY
4167,75,PARIS 20
4168,95,ARGENTEUIL
4169,17,LA ROCHELLE
4170,51,CHALONS EN CHAMPAGNE
4171,85,BRETIGNOLLES-SUR-MER
4172,33,PESSAC
4173,59,VALENCIENNES
4174,92,COLOMBES
4175,95,ARGENTEUIL
4176,13,MARSEILLE 5EME
4177,44,PORNICHET
4178,35,RENNES
4179,13,MARSEILLE 8EME
4180,34,MARSILLARGUES
4181,83,CUERS
4182,92,LEVALLOIS-PERRET
4183,94,CHAMPIGNY-SUR-MARNE
4184,13,MARSEILLE 13EME
4185,26,MONTBOUCHER-SUR-JABRON
4186,35,SAINT-MALO
4187,6,NICE
4188,7,SAINT-PERAY
4189,77,SAINT-FARGEAU-PONTHIERRY
4190,94,SAINT-MAUR-DES-FOSSES
4191,83,SAINT-CYR-SUR-MER
4192,37,LA RICHE
4193,49,SAINT-BARTHELEMY-D ANJOU
4194,92,BOIS-COLOMBES
4195,44,PORNIC
4196,95,SARCELLES
4197,35,CHANTEPIE
4198,40,SEIGNOSSE
4199,40,BISCARROSSE
4200,83,LA VALETTE DU VAR
4201,42,SAINT-CHAMOND
4202,28,TOURY
4203,91,SAINT-VRAIN
4204,91,CORBEIL ESSONNES
4205,91,MENNECY
4206,75,PARIS 11
4207,95,MONTMORENCY
4208,33,MERIGNAC
4209,94,SUCY-EN-BRIE
4210,94,VILLIERS-SUR-MARNE
4211,83,SAINT-CYR-SUR-MER
4212,45,ST JEAN DE BRAYE
4213,83,SANARY SUR MER
4214,94,THIAIS
4215,83,SOLLIES-PONT
4216,93,NOISY-LE-GRAND
4217,93,SAINT-OUEN-SUR-SEINE
4218,92,BAGNEUX
4219,38,GRENOBLE
4220,91,BALLAINVILLIERS
4221,91,SAULX-LES-CHARTREUX
4222,31,TOULOUSE
